INFO:root:Continuous training of DRL_v0_win_model_2016-05-18-04-45-05
INFO:root:Time start : 2016-05-18-23-09-15
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:discount rate = 9e-06
INFO:root:epoch =300
INFO:root:max_memory = 100000
INFO:root:batch_size = 100
INFO:root:look back term = 100
INFO:root:hidden_size = 300
INFO:root:training period = 0 ~ 5000
INFO:root:File Name = GBPUSD240.csv
INFO:root:accumulate return : 3.1231
INFO:root:accumulate return : 3.628
INFO:root:accumulate return : 3.4617
INFO:root:accumulate return : 3.5156
INFO:root:accumulate return : 3.2454
INFO:root:accumulate return : 3.4392
INFO:root:accumulate return : 3.4734
INFO:root:accumulate return : 3.4629
INFO:root:accumulate return : 3.3215
INFO:root:accumulate return : 3.3815
INFO:root:accumulate return : 3.4653
INFO:root:accumulate return : 3.2327
INFO:root:accumulate return : 3.5624
INFO:root:accumulate return : 3.243
INFO:root:accumulate return : 3.5219
INFO:root:accumulate return : 3.5342
INFO:root:accumulate return : 3.5181
INFO:root:accumulate return : 3.4081
INFO:root:accumulate return : 3.3982
INFO:root:accumulate return : 3.5393
INFO:root:accumulate return : 3.2955
INFO:root:accumulate return : 3.7247
INFO:root:accumulate return : 3.4369
INFO:root:accumulate return : 3.5076
INFO:root:accumulate return : 3.4704
INFO:root:accumulate return : 3.5922
INFO:root:accumulate return : 3.4529
INFO:root:accumulate return : 3.4034
INFO:root:accumulate return : 3.7011
INFO:root:accumulate return : 3.4807
INFO:root:accumulate return : 3.5814
INFO:root:accumulate return : 3.4875
INFO:root:accumulate return : 3.2815
INFO:root:accumulate return : 3.4089
INFO:root:accumulate return : 3.389
INFO:root:accumulate return : 3.5819
INFO:root:accumulate return : 3.3811
INFO:root:accumulate return : 3.6949
INFO:root:accumulate return : 3.3101
INFO:root:accumulate return : 3.529
INFO:root:accumulate return : 3.5785
INFO:root:accumulate return : 3.2264
INFO:root:accumulate return : 3.4788
INFO:root:accumulate return : 3.5905
INFO:root:accumulate return : 3.2182
INFO:root:accumulate return : 3.5268
INFO:root:accumulate return : 3.3509
INFO:root:accumulate return : 3.4684
INFO:root:accumulate return : 3.5579
INFO:root:accumulate return : 3.4806
INFO:root:accumulate return : 3.2369
INFO:root:accumulate return : 3.4298
INFO:root:accumulate return : 3.6785
INFO:root:accumulate return : 3.4725
INFO:root:accumulate return : 3.6348
INFO:root:accumulate return : 3.3743
INFO:root:accumulate return : 3.5312
INFO:root:accumulate return : 3.6504
INFO:root:accumulate return : 3.6411
INFO:root:accumulate return : 3.6059
INFO:root:accumulate return : 3.361
INFO:root:accumulate return : 3.3682
INFO:root:accumulate return : 3.4099
INFO:root:accumulate return : 3.4655
INFO:root:accumulate return : 3.4509
INFO:root:accumulate return : 3.3008
INFO:root:accumulate return : 3.3704
INFO:root:accumulate return : 3.3117
INFO:root:accumulate return : 3.6419
INFO:root:accumulate return : 3.4566
INFO:root:accumulate return : 3.4292
INFO:root:accumulate return : 3.3378
INFO:root:accumulate return : 3.5553
INFO:root:accumulate return : 3.3139
INFO:root:accumulate return : 3.3044
INFO:root:accumulate return : 3.4055
INFO:root:accumulate return : 3.434
INFO:root:accumulate return : 3.32
INFO:root:accumulate return : 3.5025
INFO:root:accumulate return : 3.5301
INFO:root:accumulate return : 3.388
INFO:root:accumulate return : 3.6171
INFO:root:accumulate return : 3.4825
INFO:root:accumulate return : 3.5456
INFO:root:accumulate return : 3.5248
INFO:root:accumulate return : 3.3603
INFO:root:accumulate return : 3.6499
INFO:root:accumulate return : 3.2323
INFO:root:accumulate return : 3.3962
INFO:root:accumulate return : 3.5031
INFO:root:accumulate return : 3.4334
INFO:root:accumulate return : 3.6491
INFO:root:accumulate return : 3.4092
INFO:root:accumulate return : 3.271
INFO:root:accumulate return : 3.4667
INFO:root:accumulate return : 3.0538
INFO:root:accumulate return : 3.4012
INFO:root:accumulate return : 3.4328
INFO:root:accumulate return : 3.2879
INFO:root:accumulate return : 3.3862
INFO:root:accumulate return : 3.4639
INFO:root:accumulate return : 3.2573
INFO:root:accumulate return : 3.3548
INFO:root:accumulate return : 3.4799
INFO:root:accumulate return : 3.3143
INFO:root:accumulate return : 3.6992
INFO:root:accumulate return : 3.3635
INFO:root:accumulate return : 3.2279
INFO:root:accumulate return : 3.2947
INFO:root:accumulate return : 3.5792
INFO:root:accumulate return : 3.3102
INFO:root:accumulate return : 3.2693
INFO:root:accumulate return : 3.7344
INFO:root:accumulate return : 3.4681
INFO:root:accumulate return : 3.4318
INFO:root:accumulate return : 3.3279
INFO:root:accumulate return : 3.36
INFO:root:accumulate return : 3.4359
INFO:root:accumulate return : 3.3917
INFO:root:accumulate return : 3.6219
INFO:root:accumulate return : 3.2484
INFO:root:accumulate return : 3.8624
INFO:root:accumulate return : 3.3526
INFO:root:accumulate return : 3.4623
INFO:root:accumulate return : 3.1469
INFO:root:accumulate return : 3.6317
INFO:root:accumulate return : 3.4258
INFO:root:accumulate return : 3.4902
INFO:root:accumulate return : 3.3762
INFO:root:accumulate return : 3.2577
INFO:root:accumulate return : 3.3531
INFO:root:accumulate return : 3.4075
INFO:root:accumulate return : 3.659
INFO:root:accumulate return : 3.2928
INFO:root:accumulate return : 3.4196
INFO:root:accumulate return : 3.3667
INFO:root:accumulate return : 3.5628
INFO:root:accumulate return : 3.3009
INFO:root:accumulate return : 3.6238
INFO:root:accumulate return : 3.5016
INFO:root:accumulate return : 3.6184
INFO:root:accumulate return : 3.301
INFO:root:accumulate return : 3.4326
INFO:root:accumulate return : 3.5188
