INFO:root:comment :Continue training for DRL_Model_v7_11 oanda trading data training.
INFO:root:Version : 7
INFO:root:Time start : 2016-06-10-00-03-14
INFO:root:Input data :GBP_USD240_oanda.csv
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:epoch =500
INFO:root:max_memory = 1000000
INFO:root:batch_size = 300
INFO:root:look back term = 300
INFO:root:hidden_size = 600
INFO:root:training period = -10000 ~ -1
INFO:root:learning rate = 0.1
INFO:root:discount rate = 9e-06
INFO:root:step_size = 10
INFO:root:activation function = relu
INFO:root:accumulate return : 5.51516
INFO:root:accumulate return : 5.54934
INFO:root:accumulate return : 5.4463
INFO:root:accumulate return : 5.30379
INFO:root:accumulate return : 5.53799
INFO:root:accumulate return : 5.54651
INFO:root:accumulate return : 5.37968
INFO:root:accumulate return : 5.88156
INFO:root:accumulate return : 5.60132
INFO:root:accumulate return : 5.59613
INFO:root:accumulate return : 5.50447
INFO:root:accumulate return : 5.49897
INFO:root:accumulate return : 5.84637
INFO:root:accumulate return : 5.46969
INFO:root:accumulate return : 5.55755
INFO:root:accumulate return : 5.47803
INFO:root:accumulate return : 5.53777
INFO:root:accumulate return : 5.79446
INFO:root:accumulate return : 5.5196
INFO:root:accumulate return : 5.56923
INFO:root:accumulate return : 5.84909
INFO:root:accumulate return : 5.77253
INFO:root:accumulate return : 5.50595
INFO:root:accumulate return : 5.72852
INFO:root:accumulate return : 5.69159
INFO:root:accumulate return : 5.66074
INFO:root:accumulate return : 5.61486
INFO:root:accumulate return : 5.57249
INFO:root:accumulate return : 5.67146
INFO:root:accumulate return : 5.47636
INFO:root:accumulate return : 5.759
INFO:root:accumulate return : 5.56518
INFO:root:accumulate return : 5.45486
INFO:root:accumulate return : 5.60703
INFO:root:accumulate return : 5.36515
INFO:root:accumulate return : 5.56598
INFO:root:accumulate return : 5.55994
INFO:root:accumulate return : 5.60049
INFO:root:accumulate return : 5.6394
INFO:root:accumulate return : 5.57758
INFO:root:accumulate return : 5.44047
INFO:root:accumulate return : 5.38757
