INFO:root:Version : 7
INFO:root:Time start : 2016-06-08-03-25-42
INFO:root:Input data :GBPUSD240.csv
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:epoch =500
INFO:root:max_memory = 1000000
INFO:root:batch_size = 300
INFO:root:look back term = 300
INFO:root:hidden_size = 600
INFO:root:training period = -4000 ~ -1000
INFO:root:learning rate = 0.1
INFO:root:discount rate = 9e-06
INFO:root:step_size = 10
INFO:root:activation function = relu
INFO:root:comment :Learning rate test (SGD)
INFO:root:accumulate return : -0.60827
INFO:root:accumulate return : -0.49906
INFO:root:accumulate return : -0.61168
INFO:root:accumulate return : -0.60879
INFO:root:accumulate return : -0.48845
INFO:root:accumulate return : -0.48843
INFO:root:accumulate return : -0.50437
INFO:root:accumulate return : -0.45272
INFO:root:accumulate return : -0.59273
INFO:root:accumulate return : -0.46403
INFO:root:accumulate return : -0.63516
INFO:root:accumulate return : -0.74511
INFO:root:accumulate return : -0.60773
INFO:root:accumulate return : -0.65962
INFO:root:accumulate return : -0.76365
INFO:root:accumulate return : -0.7159
INFO:root:accumulate return : -0.65839
INFO:root:accumulate return : -0.83713
INFO:root:accumulate return : -0.74667
INFO:root:accumulate return : -0.78751
INFO:root:accumulate return : -0.47773
INFO:root:accumulate return : -0.44851
INFO:root:accumulate return : -0.38614
INFO:root:accumulate return : -0.46196
INFO:root:accumulate return : -0.46933
INFO:root:accumulate return : -0.39749
INFO:root:accumulate return : -0.42469
INFO:root:accumulate return : -0.4871
INFO:root:accumulate return : -0.40747
INFO:root:accumulate return : -0.37546
INFO:root:accumulate return : -0.28562
INFO:root:accumulate return : -0.38235
INFO:root:accumulate return : -0.37988
INFO:root:accumulate return : -0.40284
INFO:root:accumulate return : -0.26975
INFO:root:accumulate return : -0.29434
INFO:root:accumulate return : -0.42741
INFO:root:accumulate return : -0.3761
INFO:root:accumulate return : -0.37895
INFO:root:accumulate return : -0.4211
INFO:root:accumulate return : -0.20922
INFO:root:accumulate return : -0.31885
INFO:root:accumulate return : -0.39899
INFO:root:accumulate return : -0.28379
INFO:root:accumulate return : -0.3526
INFO:root:accumulate return : -0.23702
INFO:root:accumulate return : -0.28337
INFO:root:accumulate return : -0.38379
INFO:root:accumulate return : -0.29733
INFO:root:accumulate return : -0.4178
INFO:root:accumulate return : -0.23037
INFO:root:accumulate return : -0.32661
INFO:root:accumulate return : -0.2325
INFO:root:accumulate return : -0.11741
INFO:root:accumulate return : -0.20017
INFO:root:accumulate return : -0.24553
INFO:root:accumulate return : -0.20669
INFO:root:accumulate return : -0.02807
INFO:root:accumulate return : -0.10444
INFO:root:accumulate return : -0.26799
INFO:root:accumulate return : 0.03367
INFO:root:accumulate return : -0.19614
INFO:root:accumulate return : -0.11214
INFO:root:accumulate return : -0.35712
INFO:root:accumulate return : -0.12744
INFO:root:accumulate return : -0.16548
INFO:root:accumulate return : -0.20232
INFO:root:accumulate return : -0.07446
INFO:root:accumulate return : -0.16966
INFO:root:accumulate return : 0.01382
INFO:root:accumulate return : -0.17414
INFO:root:accumulate return : -0.16546
INFO:root:accumulate return : -0.16949
INFO:root:accumulate return : -0.13928
INFO:root:accumulate return : -0.15161
INFO:root:accumulate return : -0.12347
INFO:root:accumulate return : -0.10375
INFO:root:accumulate return : -0.14925
INFO:root:accumulate return : -0.14184
INFO:root:accumulate return : -0.07123
INFO:root:accumulate return : -0.09892
INFO:root:accumulate return : -0.12575
INFO:root:accumulate return : -0.12044
INFO:root:accumulate return : -0.11662
INFO:root:accumulate return : 0.01582
INFO:root:accumulate return : -0.08494
INFO:root:accumulate return : -0.31947
INFO:root:accumulate return : -0.1169
INFO:root:accumulate return : -0.03949
INFO:root:accumulate return : -0.08169
INFO:root:accumulate return : -0.03649
INFO:root:accumulate return : 0.00344
INFO:root:accumulate return : 0.07642
INFO:root:accumulate return : -0.09629
INFO:root:accumulate return : -0.02861
INFO:root:accumulate return : -0.08181
INFO:root:accumulate return : -0.19394
INFO:root:accumulate return : -0.01245
INFO:root:accumulate return : -0.04518
INFO:root:accumulate return : -0.12739
INFO:root:accumulate return : 0.10569
INFO:root:accumulate return : -0.05335
INFO:root:accumulate return : 0.05301
INFO:root:accumulate return : -0.05271
INFO:root:accumulate return : -0.03965
INFO:root:accumulate return : -0.03875
INFO:root:accumulate return : -0.02322
INFO:root:accumulate return : 0.05579
INFO:root:accumulate return : -0.08425
INFO:root:accumulate return : 0.00944
INFO:root:accumulate return : 0.01281
INFO:root:accumulate return : 0.08532
INFO:root:accumulate return : 0.11374
INFO:root:accumulate return : 0.07328
INFO:root:accumulate return : 0.02507
INFO:root:accumulate return : -0.02997
INFO:root:accumulate return : -0.08017
INFO:root:accumulate return : 0.00569
INFO:root:accumulate return : 0.02551
INFO:root:accumulate return : 0.07441
INFO:root:accumulate return : -0.07995
INFO:root:accumulate return : -0.05464
INFO:root:accumulate return : -0.06953
INFO:root:accumulate return : 0.00438
INFO:root:accumulate return : 0.05697
INFO:root:accumulate return : -0.13081
INFO:root:accumulate return : -0.04081
INFO:root:accumulate return : -0.13894
INFO:root:accumulate return : -0.0094
INFO:root:accumulate return : 0.01288
INFO:root:accumulate return : 0.0217
INFO:root:accumulate return : 0.13679
INFO:root:accumulate return : 0.21278
INFO:root:accumulate return : 0.09939
INFO:root:accumulate return : -0.05116
INFO:root:accumulate return : 0.1188
INFO:root:accumulate return : 0.06028
INFO:root:accumulate return : 0.23312
INFO:root:accumulate return : 0.05202
INFO:root:accumulate return : 0.00718000000001
INFO:root:accumulate return : 0.15018
INFO:root:accumulate return : 0.19985
INFO:root:accumulate return : 0.1489
INFO:root:accumulate return : 0.09623
INFO:root:accumulate return : 0.17841
INFO:root:accumulate return : 0.22963
INFO:root:accumulate return : 0.14798
INFO:root:accumulate return : 0.18984
INFO:root:accumulate return : 0.16907
INFO:root:accumulate return : 0.26419
INFO:root:accumulate return : 0.18642
INFO:root:accumulate return : 0.03821
INFO:root:accumulate return : 0.20381
INFO:root:accumulate return : 0.16385
INFO:root:accumulate return : 0.04108
INFO:root:accumulate return : 0.0849
INFO:root:accumulate return : 0.24777
INFO:root:accumulate return : 0.14096
INFO:root:accumulate return : 0.16033
INFO:root:accumulate return : 0.14651
INFO:root:accumulate return : 0.19826
INFO:root:accumulate return : 0.14622
INFO:root:accumulate return : 0.14459
INFO:root:accumulate return : 0.09872
INFO:root:accumulate return : 0.17073
INFO:root:accumulate return : 0.13243
INFO:root:accumulate return : 0.16302
INFO:root:accumulate return : 0.1459
INFO:root:accumulate return : 0.27533
INFO:root:accumulate return : 0.23815
INFO:root:accumulate return : 0.37605
INFO:root:accumulate return : 0.31888
INFO:root:accumulate return : 0.26691
INFO:root:accumulate return : 0.23222
INFO:root:accumulate return : 0.26627
INFO:root:accumulate return : 0.31932
INFO:root:accumulate return : 0.27316
INFO:root:accumulate return : 0.22117
INFO:root:accumulate return : 0.33789
INFO:root:accumulate return : 0.21561
INFO:root:accumulate return : 0.1711
INFO:root:accumulate return : 0.27714
INFO:root:accumulate return : 0.34739
INFO:root:accumulate return : 0.24378
INFO:root:accumulate return : 0.20599
INFO:root:accumulate return : 0.19016
INFO:root:accumulate return : 0.2795
INFO:root:accumulate return : 0.28504
INFO:root:accumulate return : 0.3157
INFO:root:accumulate return : 0.32021
INFO:root:accumulate return : 0.20624
INFO:root:accumulate return : 0.32457
INFO:root:accumulate return : 0.33481
INFO:root:accumulate return : 0.35525
INFO:root:accumulate return : 0.38061
INFO:root:accumulate return : 0.22675
INFO:root:accumulate return : 0.2413
INFO:root:accumulate return : 0.36346
INFO:root:accumulate return : 0.29991
INFO:root:accumulate return : 0.18544
INFO:root:accumulate return : 0.28773
INFO:root:accumulate return : 0.28965
INFO:root:accumulate return : 0.331
INFO:root:accumulate return : 0.32232
INFO:root:accumulate return : 0.34624
INFO:root:accumulate return : 0.23298
INFO:root:accumulate return : 0.33703
INFO:root:accumulate return : 0.41174
INFO:root:accumulate return : 0.29268
INFO:root:accumulate return : 0.30032
INFO:root:accumulate return : 0.21823
INFO:root:accumulate return : 0.36182
INFO:root:accumulate return : 0.24979
INFO:root:accumulate return : 0.28752
INFO:root:accumulate return : 0.24622
INFO:root:accumulate return : 0.28515
INFO:root:accumulate return : 0.41071
INFO:root:accumulate return : 0.27533
INFO:root:accumulate return : 0.27716
INFO:root:accumulate return : 0.29117
INFO:root:accumulate return : 0.33023
INFO:root:accumulate return : 0.41645
INFO:root:accumulate return : 0.33429
INFO:root:accumulate return : 0.48871
INFO:root:accumulate return : 0.22932
INFO:root:accumulate return : 0.28049
INFO:root:accumulate return : 0.32275
INFO:root:accumulate return : 0.39325
INFO:root:accumulate return : 0.3381
INFO:root:accumulate return : 0.33477
INFO:root:accumulate return : 0.46104
INFO:root:accumulate return : 0.38903
INFO:root:accumulate return : 0.48901
INFO:root:accumulate return : 0.43947
INFO:root:accumulate return : 0.2992
INFO:root:accumulate return : 0.44614
INFO:root:accumulate return : 0.27168
INFO:root:accumulate return : 0.40758
INFO:root:accumulate return : 0.38919
INFO:root:accumulate return : 0.41245
INFO:root:accumulate return : 0.39054
INFO:root:accumulate return : 0.39974
INFO:root:accumulate return : 0.49336
INFO:root:accumulate return : 0.43076
INFO:root:accumulate return : 0.39194
INFO:root:accumulate return : 0.29703
INFO:root:accumulate return : 0.37453
INFO:root:accumulate return : 0.4311
INFO:root:accumulate return : 0.52689
INFO:root:accumulate return : 0.4976
INFO:root:accumulate return : 0.43942
INFO:root:accumulate return : 0.47276
INFO:root:accumulate return : 0.35343
INFO:root:accumulate return : 0.45447
INFO:root:accumulate return : 0.394
INFO:root:accumulate return : 0.44299
INFO:root:accumulate return : 0.38997
INFO:root:accumulate return : 0.40518
INFO:root:accumulate return : 0.3467
INFO:root:accumulate return : 0.50014
INFO:root:accumulate return : 0.55676
INFO:root:accumulate return : 0.42724
INFO:root:accumulate return : 0.42018
INFO:root:accumulate return : 0.43164
INFO:root:accumulate return : 0.54175
INFO:root:accumulate return : 0.41575
INFO:root:accumulate return : 0.34328
INFO:root:accumulate return : 0.42447
INFO:root:accumulate return : 0.49518
INFO:root:accumulate return : 0.45755
INFO:root:accumulate return : 0.38435
INFO:root:accumulate return : 0.40931
INFO:root:accumulate return : 0.46541
INFO:root:accumulate return : 0.5038
INFO:root:accumulate return : 0.46461
INFO:root:accumulate return : 0.42209
INFO:root:accumulate return : 0.43996
INFO:root:accumulate return : 0.38066
INFO:root:accumulate return : 0.42935
INFO:root:accumulate return : 0.53515
INFO:root:accumulate return : 0.46265
INFO:root:accumulate return : 0.495
INFO:root:accumulate return : 0.43699
INFO:root:accumulate return : 0.42912
INFO:root:accumulate return : 0.5081
INFO:root:accumulate return : 0.47547
INFO:root:accumulate return : 0.40591
INFO:root:accumulate return : 0.3548
INFO:root:accumulate return : 0.4422
INFO:root:accumulate return : 0.46117
INFO:root:accumulate return : 0.38125
INFO:root:accumulate return : 0.35858
INFO:root:accumulate return : 0.37761
INFO:root:accumulate return : 0.49296
INFO:root:accumulate return : 0.44682
INFO:root:accumulate return : 0.42329
INFO:root:accumulate return : 0.36651
INFO:root:accumulate return : 0.50005
INFO:root:accumulate return : 0.37706
INFO:root:accumulate return : 0.34925
INFO:root:accumulate return : 0.39276
INFO:root:accumulate return : 0.48101
INFO:root:accumulate return : 0.47064
INFO:root:accumulate return : 0.39673
INFO:root:accumulate return : 0.45307
INFO:root:accumulate return : 0.43642
INFO:root:accumulate return : 0.41766
INFO:root:accumulate return : 0.31896
INFO:root:accumulate return : 0.49184
INFO:root:accumulate return : 0.35299
INFO:root:accumulate return : 0.4233
INFO:root:accumulate return : 0.48738
INFO:root:accumulate return : 0.39082
INFO:root:accumulate return : 0.49569
INFO:root:accumulate return : 0.39614
INFO:root:accumulate return : 0.41777
INFO:root:accumulate return : 0.43825
INFO:root:accumulate return : 0.46508
INFO:root:accumulate return : 0.37403
INFO:root:accumulate return : 0.37623
INFO:root:accumulate return : 0.42519
INFO:root:accumulate return : 0.43538
INFO:root:accumulate return : 0.57351
INFO:root:accumulate return : 0.64674
INFO:root:accumulate return : 0.56596
