INFO:root:comment :Continue training for DRL_Model_v7_17 oanda trading data training.
INFO:root:Version : 7
INFO:root:Time start : 2016-06-11-22-18-59
INFO:root:Input data :GBP_USD240_oanda.csv
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:epoch =500
INFO:root:max_memory = 1000000
INFO:root:batch_size = 300
INFO:root:look back term = 300
INFO:root:hidden_size = 600
INFO:root:training period = -10000 ~ -1
INFO:root:learning rate = 0.1
INFO:root:discount rate = 9e-06
INFO:root:step_size = 10
INFO:root:activation function = relu
INFO:root:accumulate return : 5.93522
INFO:root:accumulate return : 5.74905
INFO:root:accumulate return : 5.86229
INFO:root:accumulate return : 5.83901
INFO:root:accumulate return : 5.99979
INFO:root:accumulate return : 5.82911
INFO:root:accumulate return : 5.95606
INFO:root:accumulate return : 5.91895
INFO:root:accumulate return : 5.89118
INFO:root:accumulate return : 5.74601
INFO:root:accumulate return : 5.82307
INFO:root:accumulate return : 5.74561
INFO:root:accumulate return : 5.85495
INFO:root:accumulate return : 5.75552
INFO:root:accumulate return : 5.79132
INFO:root:accumulate return : 5.83306
INFO:root:accumulate return : 5.6269
INFO:root:accumulate return : 5.92889
INFO:root:accumulate return : 5.68868
INFO:root:accumulate return : 5.90399
INFO:root:accumulate return : 5.9396
INFO:root:accumulate return : 5.80031
INFO:root:accumulate return : 5.84706
INFO:root:accumulate return : 5.88141
INFO:root:accumulate return : 6.03579
INFO:root:accumulate return : 5.83721
INFO:root:accumulate return : 6.19445
INFO:root:accumulate return : 5.95379
INFO:root:accumulate return : 5.93343
INFO:root:accumulate return : 5.98751
INFO:root:accumulate return : 6.00976
INFO:root:accumulate return : 6.19494
INFO:root:accumulate return : 5.88309
INFO:root:accumulate return : 6.04884
INFO:root:accumulate return : 6.1945
INFO:root:accumulate return : 6.01503
INFO:root:accumulate return : 6.15696
INFO:root:accumulate return : 6.00986
INFO:root:accumulate return : 5.93472
INFO:root:accumulate return : 6.08187
INFO:root:accumulate return : 6.12436
INFO:root:accumulate return : 6.17666
INFO:root:accumulate return : 6.23984
INFO:root:accumulate return : 6.02017
INFO:root:accumulate return : 6.06862
INFO:root:accumulate return : 6.26847
INFO:root:accumulate return : 6.22645
INFO:root:accumulate return : 6.14076
INFO:root:accumulate return : 6.06609
INFO:root:accumulate return : 6.28256
INFO:root:accumulate return : 5.72354
INFO:root:accumulate return : 6.08215
INFO:root:accumulate return : 5.85195
INFO:root:accumulate return : 6.02512
INFO:root:accumulate return : 6.0551
INFO:root:accumulate return : 6.0141
INFO:root:accumulate return : 5.86757
INFO:root:accumulate return : 5.92986
INFO:root:accumulate return : 5.96329
INFO:root:accumulate return : 5.8544
INFO:root:accumulate return : 5.53035
INFO:root:accumulate return : 5.65869
INFO:root:accumulate return : 5.572
INFO:root:accumulate return : 5.48958
