,closeAsk,closeBid,complete,highAsk,highBid,lowAsk,lowBid,openAsk,openBid,time,volume
0,1.9199,1.9189,True,1.9207,1.9197,1.919,1.918,1.9198,1.9188,2005-01-02T18:00:00.000000Z,178
1,1.9167,1.9161,True,1.9207,1.92,1.9159,1.9153,1.9197,1.9187,2005-01-02T22:00:00.000000Z,1009
2,1.9058,1.9052,True,1.9167,1.9161,1.8985,1.8979,1.9167,1.9161,2005-01-03T02:00:00.000000Z,2445
3,1.9126,1.9121,True,1.9162,1.9157,1.9053,1.9047,1.9059,1.9053,2005-01-03T06:00:00.000000Z,5738
4,1.9076,1.9071,True,1.9127,1.9122,1.9063,1.9058,1.9125,1.912,2005-01-03T10:00:00.000000Z,6345
5,1.9041,1.9036,True,1.9096,1.9091,1.9019,1.9014,1.9076,1.9071,2005-01-03T14:00:00.000000Z,7407
6,1.9047,1.9042,True,1.9057,1.9052,1.9016,1.9011,1.9041,1.9036,2005-01-03T18:00:00.000000Z,3303
7,1.9066,1.9061,True,1.9069,1.9064,1.9027,1.9022,1.9047,1.9042,2005-01-03T22:00:00.000000Z,1206
8,1.908,1.9075,True,1.9087,1.9082,1.9055,1.905,1.9066,1.9061,2005-01-04T02:00:00.000000Z,1180
9,1.8953,1.8949,True,1.9081,1.9076,1.8946,1.8942,1.908,1.9075,2005-01-04T06:00:00.000000Z,7939
10,1.8949,1.8945,True,1.8977,1.8973,1.8918,1.8914,1.8954,1.895,2005-01-04T10:00:00.000000Z,9071
11,1.8838,1.8834,True,1.895,1.8946,1.8809,1.8805,1.895,1.8946,2005-01-04T14:00:00.000000Z,9943
12,1.8831,1.8827,True,1.8858,1.8854,1.8783,1.8779,1.8838,1.8834,2005-01-04T18:00:00.000000Z,5670
13,1.8845,1.884,True,1.8853,1.8848,1.882,1.8815,1.8827,1.8823,2005-01-04T22:00:00.000000Z,2014
14,1.8849,1.8844,True,1.8852,1.8847,1.8821,1.8816,1.8846,1.8841,2005-01-05T02:00:00.000000Z,1470
15,1.8755,1.8751,True,1.8856,1.8851,1.875,1.8746,1.8848,1.8843,2005-01-05T06:00:00.000000Z,8366
16,1.8807,1.8803,True,1.8811,1.8807,1.8733,1.8729,1.8755,1.8751,2005-01-05T10:00:00.000000Z,10395
17,1.8851,1.8847,True,1.89,1.8896,1.8795,1.8791,1.8806,1.8802,2005-01-05T14:00:00.000000Z,10371
18,1.8829,1.8825,True,1.8866,1.8862,1.8825,1.8821,1.8851,1.8847,2005-01-05T18:00:00.000000Z,4139
19,1.8855,1.8851,True,1.8858,1.8854,1.8827,1.8823,1.8831,1.8827,2005-01-05T22:00:00.000000Z,1205
20,1.8841,1.8837,True,1.8858,1.8854,1.8825,1.8821,1.8855,1.8851,2005-01-06T02:00:00.000000Z,1086
21,1.8714,1.871,True,1.8844,1.884,1.8706,1.8702,1.8841,1.8837,2005-01-06T06:00:00.000000Z,8651
22,1.874,1.8736,True,1.8751,1.8747,1.8701,1.8697,1.8715,1.8711,2005-01-06T10:00:00.000000Z,8910
23,1.8746,1.8742,True,1.8795,1.8791,1.8728,1.8724,1.874,1.8736,2005-01-06T14:00:00.000000Z,9432
24,1.8755,1.8751,True,1.876,1.8756,1.873,1.8726,1.8747,1.8743,2005-01-06T18:00:00.000000Z,4551
25,1.877,1.8765,True,1.8779,1.8774,1.8744,1.8739,1.8755,1.8751,2005-01-06T22:00:00.000000Z,1229
26,1.8786,1.8781,True,1.8799,1.8794,1.876,1.8755,1.877,1.8765,2005-01-07T02:00:00.000000Z,1045
27,1.8822,1.8818,True,1.8833,1.8829,1.8758,1.8754,1.8788,1.8783,2005-01-07T06:00:00.000000Z,7129
28,1.8829,1.8825,True,1.8852,1.8848,1.8767,1.876,1.8822,1.8818,2005-01-07T10:00:00.000000Z,9002
29,1.866,1.8656,True,1.8867,1.8863,1.8649,1.8645,1.8829,1.8825,2005-01-07T14:00:00.000000Z,11571
30,1.8716,1.8706,True,1.8735,1.8731,1.8657,1.8653,1.8661,1.8657,2005-01-07T18:00:00.000000Z,4969
31,1.8715,1.8705,True,1.8725,1.8715,1.8702,1.8692,1.8705,1.8695,2005-01-09T18:00:00.000000Z,161
32,1.8719,1.8714,True,1.8729,1.8719,1.8697,1.8687,1.8713,1.8703,2005-01-09T22:00:00.000000Z,738
33,1.8726,1.8721,True,1.8759,1.8754,1.8715,1.871,1.8722,1.8717,2005-01-10T02:00:00.000000Z,922
34,1.8758,1.8754,True,1.8779,1.8775,1.8718,1.8713,1.8727,1.8722,2005-01-10T06:00:00.000000Z,7318
35,1.8782,1.8778,True,1.8796,1.8792,1.8743,1.8739,1.8758,1.8754,2005-01-10T10:00:00.000000Z,8706
36,1.8734,1.873,True,1.8782,1.8778,1.872,1.8716,1.8782,1.8778,2005-01-10T14:00:00.000000Z,9030
37,1.8756,1.8752,True,1.8773,1.8769,1.8721,1.8717,1.8734,1.873,2005-01-10T18:00:00.000000Z,4677
38,1.8782,1.8778,True,1.8785,1.8781,1.8753,1.8749,1.8754,1.875,2005-01-10T22:00:00.000000Z,1369
39,1.8817,1.8813,True,1.8825,1.8821,1.878,1.8776,1.8781,1.8777,2005-01-11T02:00:00.000000Z,1125
40,1.878,1.8776,True,1.8824,1.882,1.8754,1.875,1.8818,1.8814,2005-01-11T06:00:00.000000Z,7512
41,1.8775,1.8771,True,1.8802,1.8798,1.8762,1.8758,1.878,1.8776,2005-01-11T10:00:00.000000Z,8570
42,1.8787,1.8783,True,1.8812,1.8808,1.8757,1.8753,1.8775,1.8771,2005-01-11T14:00:00.000000Z,9371
43,1.8781,1.8777,True,1.8799,1.8795,1.8771,1.8767,1.8787,1.8783,2005-01-11T18:00:00.000000Z,4771
