,accumulate return
0,-0.44959
1,-0.26638
2,-0.38035
3,-0.27507
4,-0.19411
5,-0.27019
6,-0.20632
7,-0.22445
8,-0.25465
9,-0.19054
10,-0.21806
11,-0.18685
12,-0.12497
13,-0.13215
14,-0.15568
15,-0.16745
16,-0.1433
17,-0.10106
18,-0.1157
19,-0.10665
20,-0.13101
21,-0.1131
22,-0.10209
23,-0.09203
24,-0.08002
25,-0.06527
26,-0.06889
27,-0.14243
28,-0.11048
29,-0.06085
30,-0.04627
31,-0.13341
32,-0.12123
33,-0.17082
34,-0.08823
35,0.00557
36,-0.13009
37,-0.10325
38,-0.06431
39,-0.09048
40,-0.05068
41,-0.05498
42,-0.10902
43,-0.07931
44,-0.07842
45,-0.02846
46,-0.11373
47,-0.09272
48,-0.09695
49,-0.06295
50,-0.09433
51,-0.05736
52,0.01088
53,-0.04838
54,-0.05294
55,-0.03951
56,-0.07554
57,-0.01007
58,-0.00158000000001
59,-0.0255
60,-0.04714
61,-0.03962
62,-0.05493
63,-0.02818
64,0.00599
65,-0.03117
66,-0.03877
67,-0.07693
68,-0.01897
69,-0.00152
70,-0.01827
71,0.0033
72,0.02068
73,-0.03001
74,-0.04088
75,0.03476
76,0.05301
77,-0.04735
78,-0.01643
79,-0.0502
80,-0.06517
81,0.01837
82,-0.02536
83,-0.033
84,-0.03638
85,-0.03894
86,-0.03783
87,0.01653
88,-0.05845
89,0.01006
90,-0.04731
91,-0.02014
92,-0.0448
93,-0.03052
94,-0.05033
95,0.00302999999999
96,-0.02284
97,-0.00959
98,0.03558
99,-0.03153
100,0.04573
101,0.01496
102,0.0277
103,-0.04259
104,0.022
105,-0.01057
106,0.02562
107,-0.02158
108,-0.05911
109,0.04666
110,0.00415
111,0.08689
112,0.0321
113,0.0219
114,0.05318
115,-0.06596
116,-0.04347
117,-0.03496
118,0.06946
119,-0.02744
120,0.04717
121,0.02939
122,0.06145
123,0.02717
124,0.01232
125,0.03976
126,-0.00722
127,-0.02642
128,0.03854
129,0.000689999999999
130,0.03528
131,0.04529
132,0.12598
133,0.06274
134,0.04914
135,0.00267
136,0.0684
137,0.05129
138,0.0226
139,0.04358
140,0.07008
141,0.06995
142,0.06951
143,0.12843
144,0.00556
145,0.05712
146,0.05276
147,-0.00316
148,0.05825
149,0.043
150,0.04383
151,0.09697
152,0.09831
153,-0.02465
154,0.07011
155,0.08037
156,0.000349999999998
157,0.05171
158,0.09031
159,0.01352
160,0.11169
161,0.05135
162,0.0094
163,0.0768
164,0.05562
165,0.03992
166,0.08869
167,0.01826
168,0.09312
169,-0.02074
170,0.09243
171,0.04027
172,0.02101
173,0.02314
174,0.0676
175,0.0146
176,0.11601
177,0.0865
178,0.01904
179,0.03705
180,0.03761
181,0.02437
182,0.07056
183,0.10983
184,-0.00155000000001
185,0.08117
186,0.08761
187,0.03179
188,0.06168
189,0.08353
190,0.02941
191,0.03501
192,0.00274
193,0.06207
194,0.07336
195,0.06136
196,0.04528
197,-0.02595
198,0.13431
199,0.07424
200,0.1314
201,0.03808
202,0.07159
203,0.02531
204,0.10056
205,0.10205
206,0.09643
207,0.10003
208,0.05372
209,0.07134
210,0.03446
211,0.08098
212,0.00293
213,0.0203
214,0.01828
215,0.12233
216,0.04202
217,0.05432
218,0.087
219,0.06918
220,0.05408
221,0.10954
222,0.06426
223,0.05534
224,0.06279
225,0.0852
226,0.07585
227,0.022
228,0.01625
229,0.09477
230,0.10423
231,0.13049
232,0.12052
233,0.15178
234,0.06927
235,0.03333
236,0.07224
237,0.05819
238,0.04053
239,0.02678
240,0.09082
241,0.08879
242,0.07886
243,0.07651
244,0.05877
245,0.04138
246,0.03235
247,0.04944
248,0.08415
249,0.06843
250,0.07085
251,-0.00836
252,0.06466
253,-0.01478
254,0.06469
255,0.08243
256,0.10554
257,0.09529
258,0.07168
259,0.06121
260,0.07416
261,0.02195
262,0.08705
263,0.08339
264,0.0416
265,0.039
266,0.08304
267,0.12612
268,0.08145
269,0.01355
270,0.03939
271,0.12345
272,0.05166
273,0.03947
274,0.04991
275,0.00673999999999
276,0.02141
277,0.05282
278,0.07963
279,0.06488
280,0.0673
281,0.08246
282,0.09141
