,0,1,USDJPY,JPYEUR,EURGBP,GBPCHF
0,1999.01.05,8:00,1.1107,0.7618467,0.7142,2.2611
1,1999.01.05,12:00,1.1105,0.7632423,0.7123,2.2644
2,1999.01.05,16:00,1.111,0.7656968,0.7097,2.2686
3,1999.01.05,20:00,1.1133,0.7686395,0.7113,2.2687
4,1999.01.06,8:00,1.1242,0.7567731,0.7113,2.2688
5,1999.01.06,12:00,1.1186,0.7611509,0.7082,2.281
6,1999.01.06,16:00,1.1272,0.7612088,0.7048,2.2948
7,1999.01.06,20:00,1.1306,0.7616146,0.7019,2.3057
8,1999.01.07,8:00,1.1069,0.7743534,0.7053,2.2956
9,1999.01.07,12:00,1.1145,0.770238,0.7067,2.2852
10,1999.01.07,16:00,1.1166,0.7674008,0.7074,2.2862
11,1999.01.07,20:00,1.1098,0.7697044,0.7092,2.2824
12,1999.01.08,0:00,1.1151,0.7671065,0.708,2.2843
13,1999.01.08,4:00,1.1064,0.7724394,0.7096,2.2747
14,1999.01.08,8:00,1.1146,0.7683442,0.711,2.2701
15,1999.01.08,12:00,1.1158,0.7673419,0.7091,2.2754
16,1999.01.08,16:00,1.1152,0.776036,0.7042,2.2909
17,1999.01.08,20:00,1.1107,0.7770612,0.7048,2.2918
18,1999.01.09,0:00,1.108,0.7786949,0.7062,2.2876
19,1999.01.11,0:00,1.1036,0.7830854,0.7051,2.288
20,1999.01.11,4:00,1.103,0.7833307,0.7065,2.2835
21,1999.01.11,8:00,1.0993,0.7851759,0.7068,2.2819
22,1999.01.11,12:00,1.0908,0.792142,0.7038,2.2872
23,1999.01.11,16:00,1.0884,0.7963686,0.7043,2.287
24,1999.01.11,20:00,1.0868,0.7996801,0.7055,2.283
25,1999.01.12,0:00,1.097,0.7945336,0.7038,2.2859
26,1999.01.12,4:00,1.113,0.7817997,0.7048,2.2849
27,1999.01.12,8:00,1.1237,0.7742335,0.7053,2.2779
28,1999.01.12,12:00,1.1248,0.7726781,0.706,2.2758
29,1999.01.12,16:00,1.1207,0.7727378,0.708,2.2654
30,1999.01.12,20:00,1.1245,0.7691124,0.7091,2.2627
31,1999.01.13,0:00,1.1242,0.7690533,0.7081,2.2644
32,1999.01.13,4:00,1.1237,0.7691716,0.7079,2.2634
33,1999.01.13,8:00,1.1144,0.7723797,0.7086,2.2557
34,1999.01.13,12:00,1.1209,0.7608613,0.7084,2.2515
35,1999.01.13,16:00,1.1339,0.7536931,0.7091,2.241
36,1999.01.13,20:00,1.1312,0.757748,0.7079,2.25
37,1999.01.14,0:00,1.1337,0.7556294,0.7077,2.248
38,1999.01.14,4:00,1.1345,0.7576332,0.7058,2.2497
39,1999.01.14,8:00,1.1375,0.754717,0.7065,2.2494
40,1999.01.14,12:00,1.1415,0.752219,0.7064,2.2537
41,1999.01.14,16:00,1.1323,0.7555723,0.7071,2.251
42,1999.01.14,20:00,1.1361,0.7521625,0.7064,2.2492
43,1999.01.15,0:00,1.1334,0.7555723,0.7057,2.2498
44,1999.01.15,4:00,1.1301,0.757461,0.7063,2.2473
45,1999.01.15,8:00,1.1255,0.7586102,0.7054,2.2488
46,1999.01.15,12:00,1.1303,0.7584376,0.7042,2.2576
47,1999.01.15,16:00,1.1407,0.7555723,0.7022,2.2769
48,1999.01.15,20:00,1.1387,0.7579777,0.7,2.2816
49,1999.01.16,0:00,1.1415,0.7590709,0.7012,2.2816
50,1999.01.18,0:00,1.1352,0.7607455,0.7017,2.2775
51,1999.01.18,4:00,1.1372,0.7583801,0.7019,2.277
52,1999.01.18,8:00,1.1465,0.7532389,0.7012,2.2807
53,1999.01.18,12:00,1.1437,0.7527286,0.7012,2.2846
54,1999.01.18,16:00,1.1436,0.7536363,0.7021,2.2821
55,1999.01.18,20:00,1.1425,0.7541478,0.7021,2.2789
56,1999.01.19,0:00,1.1425,0.7553441,0.7013,2.28
57,1999.01.19,4:00,1.1465,0.7536363,0.7018,2.2787
58,1999.01.19,8:00,1.1394,0.7561437,0.7022,2.2762
59,1999.01.19,12:00,1.1367,0.7570596,0.7,2.2822
60,1999.01.19,16:00,1.1374,0.7575758,0.701,2.2765
61,1999.01.19,20:00,1.1341,0.7590133,0.7014,2.2784
62,1999.01.20,0:00,1.1345,0.7593591,0.7009,2.2798
63,1999.01.20,4:00,1.1317,0.7603984,0.7001,2.284
64,1999.01.20,8:00,1.133,0.7624857,0.7003,2.2853
65,1999.01.20,12:00,1.1352,0.7605141,0.7013,2.2855
66,1999.01.20,16:00,1.1347,0.7614986,0.7027,2.2869
67,1999.01.20,20:00,1.1295,0.7655795,0.7025,2.286
68,1999.01.21,0:00,1.1305,0.7652866,0.7017,2.2889
69,1999.01.21,4:00,1.1324,0.7637086,0.7014,2.2915
70,1999.01.21,8:00,1.1293,0.7656382,0.7031,2.2819
71,1999.01.21,12:00,1.1251,0.7681672,0.7023,2.2839
72,1999.01.21,16:00,1.1357,0.7601095,0.7011,2.2889
73,1999.01.21,20:00,1.1367,0.7587829,0.702,2.2886
74,1999.01.22,0:00,1.1368,0.7579777,0.7022,2.2831
75,1999.01.22,4:00,1.1363,0.757461,0.7032,2.2766
76,1999.01.22,8:00,1.1362,0.7580352,0.7019,2.2811
77,1999.01.22,12:00,1.1396,0.7580352,0.701,2.2803
78,1999.01.22,16:00,1.1462,0.7527286,0.6996,2.2891
79,1999.01.22,20:00,1.1442,0.7536363,0.6998,2.2925
80,1999.01.23,0:00,1.1456,0.7531255,0.7004,2.29
81,1999.01.25,0:00,1.1446,0.7544892,0.6995,2.2874
82,1999.01.25,4:00,1.1445,0.7532957,0.7005,2.2812
83,1999.01.25,8:00,1.1441,0.7533524,0.6997,2.2804
84,1999.01.25,12:00,1.1414,0.7554582,0.6993,2.2831
85,1999.01.25,16:00,1.1382,0.7593014,0.6982,2.2915
86,1999.01.25,20:00,1.1393,0.7593014,0.6972,2.2984
87,1999.01.26,0:00,1.1357,0.761035,0.697,2.2992
88,1999.01.26,4:00,1.1363,0.7603984,0.6975,2.2982
89,1999.01.26,8:00,1.1348,0.7620209,0.6958,2.3045
90,1999.01.26,12:00,1.1372,0.7590709,0.6974,2.295
91,1999.01.26,16:00,1.1402,0.7575184,0.6976,2.3008
92,1999.01.26,20:00,1.1385,0.759763,0.6965,2.306
93,1999.01.27,0:00,1.137,0.7624276,0.6959,2.3092
94,1999.01.27,4:00,1.137,0.7633588,0.696,2.3084
95,1999.01.27,8:00,1.1419,0.7601095,0.6962,2.3119
96,1999.01.27,12:00,1.1443,0.757748,0.6963,2.3069
97,1999.01.27,16:00,1.1572,0.7528987,0.6962,2.3108
98,1999.01.27,20:00,1.1579,0.7553441,0.6949,2.3214
99,1999.01.28,0:00,1.155,0.7578054,0.6944,2.3206
100,1999.01.28,4:00,1.1559,0.7560865,0.695,2.3205
101,1999.01.28,8:00,1.1531,0.756258,0.6958,2.3175
102,1999.01.28,12:00,1.1597,0.7571169,0.6922,2.3323
103,1999.01.28,16:00,1.1635,0.7542616,0.6917,2.3334
104,1999.01.28,20:00,1.1635,0.7529553,0.6923,2.327
105,1999.01.29,0:00,1.1631,0.7542616,0.6925,2.325
106,1999.01.29,4:00,1.162,0.7536363,0.6936,2.3216
107,1999.01.29,8:00,1.1644,0.7536931,0.6922,2.3266
108,1999.01.29,12:00,1.1597,0.7566013,0.6911,2.3328
109,1999.01.29,16:00,1.1598,0.7579203,0.691,2.3298
110,1999.01.29,20:00,1.1634,0.7564869,0.6905,2.3267
111,1999.01.30,0:00,1.1633,0.7566013,0.6904,2.3307
112,1999.02.01,0:00,1.1559,0.7591862,0.6914,2.3274
113,1999.02.01,4:00,1.1566,0.7617887,0.6902,2.3287
114,1999.02.01,8:00,1.1546,0.7601672,0.6916,2.323
115,1999.02.01,12:00,1.1542,0.7647599,0.6911,2.3275
116,1999.02.01,16:00,1.1513,0.7685804,0.6885,2.3346
117,1999.02.01,20:00,1.1507,0.7685804,0.6891,2.3338
118,1999.02.02,0:00,1.1498,0.7685214,0.6893,2.332
119,1999.02.02,4:00,1.1515,0.7675775,0.6893,2.3319
120,1999.02.02,8:00,1.1324,0.7803355,0.6872,2.3332
121,1999.02.02,12:00,1.1314,0.780884,0.6888,2.3253
122,1999.02.02,16:00,1.1208,0.7861017,0.6896,2.3191
123,1999.02.02,20:00,1.1216,0.7861017,0.692,2.3178
124,1999.02.03,0:00,1.1242,0.7843137,0.6922,2.3149
125,1999.02.03,4:00,1.1213,0.786349,0.6915,2.3161
126,1999.02.03,8:00,1.1237,0.7851142,0.6924,2.3071
127,1999.02.03,12:00,1.1192,0.7877117,0.6927,2.3075
128,1999.02.03,16:00,1.1239,0.7844368,0.6925,2.3148
129,1999.02.03,20:00,1.1272,0.7835148,0.6913,2.3187
130,1999.02.04,0:00,1.132,0.7817386,0.6905,2.3216
131,1999.02.04,4:00,1.1317,0.7809449,0.6911,2.3209
132,1999.02.04,8:00,1.1377,0.7796055,0.6871,2.3317
133,1999.02.04,12:00,1.1345,0.7824114,0.69,2.3223
134,1999.02.04,16:00,1.1203,0.7895152,0.6896,2.322
135,1999.02.04,20:00,1.1202,0.7872776,0.6893,2.3252
136,1999.02.05,0:00,1.1226,0.7852992,0.6896,2.3212
137,1999.02.05,4:00,1.1215,0.7852992,0.6907,2.3184
138,1999.02.05,8:00,1.1195,0.78796,0.6896,2.3166
139,1999.02.05,12:00,1.1334,0.7809449,0.6886,2.3244
140,1999.02.05,16:00,1.1321,0.7833921,0.6891,2.3209
141,1999.02.05,20:00,1.1323,0.7843752,0.6902,2.3219
142,1999.02.06,0:00,1.1313,0.7846214,0.6895,2.3194
143,1999.02.08,0:00,1.1305,0.7854843,0.6896,2.319
144,1999.02.08,4:00,1.1322,0.7862872,0.688,2.3245
145,1999.02.08,8:00,1.1381,0.78125,0.6881,2.3279
146,1999.02.08,12:00,1.1361,0.7820443,0.6894,2.3233
147,1999.02.08,16:00,1.1433,0.7739339,0.6898,2.3212
148,1999.02.08,20:00,1.1457,0.7706535,0.6913,2.3204
149,1999.02.09,0:00,1.1466,0.770238,0.6912,2.3204
150,1999.02.09,4:00,1.1459,0.7705941,0.6909,2.3214
151,1999.02.09,8:00,1.1456,0.7707723,0.69,2.3236
