,0,1,USDJPY,JPYEUR,EURGBP,GBPCHF
0,1999.01.05,8:00,153.037362637,93.6259932161,79.2221641401,184.789467058
1,1999.01.05,12:00,152.950803043,94.3819379132,77.9508625196,185.349244949
2,1999.01.05,16:00,153.167202029,95.71144942,76.2111866179,186.061689538
3,1999.01.05,20:00,154.162637363,97.3054007385,77.2817564036,186.078652504
4,1999.01.06,8:00,158.880135249,90.8778124945,77.2817564036,186.095615471
5,1999.01.06,12:00,156.45646661,93.2491041933,75.2075274438,188.165097371
6,1999.01.06,16:00,160.178529163,93.2804664733,72.9325666492,190.505986734
7,1999.01.06,20:00,161.650042265,93.5002732647,70.9921589127,192.354950072
8,1999.01.07,8:00,151.392730347,100.400408194,73.2671197073,190.641690466
9,1999.01.07,12:00,154.681994928,98.1712488312,74.2038682697,188.87754196
10,1999.01.07,16:00,155.590870668,96.6344429452,74.672242551,189.047171624
11,1999.01.07,20:00,152.647844463,97.8822175255,75.8766335599,188.402578901
12,1999.01.08,0:00,154.941673711,96.4750315635,75.0737062206,188.724875263
13,1999.01.08,4:00,151.176331361,99.3636654665,76.1442760063,187.096430488
14,1999.01.08,8:00,154.725274725,97.1454476939,77.0810245687,186.316134034
15,1999.01.08,12:00,155.244632291,96.6025390024,75.8097229482,187.215171253
16,1999.01.08,16:00,154.984953508,101.311810134,72.5311029796,189.844431045
17,1999.01.08,20:00,153.037362637,101.867122905,72.9325666492,189.997097742
18,1999.01.09,0:00,151.868808115,102.75203753,73.8693152117,189.284653154
19,1999.01.11,0:00,149.964497041,105.130208348,73.1332984841,189.352505019
20,1999.01.11,4:00,149.704818259,105.263078249,74.0700470465,188.589171531
21,1999.01.11,8:00,148.103465765,106.262554571,74.2707788813,188.317764069
22,1999.01.11,12:00,144.424683009,110.035832268,72.2634605332,189.216801288
23,1999.01.11,16:00,143.385967878,112.325224541,72.5980135912,189.182875355
24,1999.01.11,20:00,142.693491124,114.118941125,73.4009409305,188.504356699
25,1999.01.12,0:00,147.108030431,111.331273181,72.2634605332,188.996282725
26,1999.01.12,4:00,154.032797971,104.4337924,72.9325666492,188.826653061
27,1999.01.12,8:00,158.663736264,100.335462816,73.2671197073,187.639245413
28,1999.01.12,12:00,159.139814032,99.4929603928,73.7354939885,187.283023119
29,1999.01.12,16:00,157.36534235,99.525297666,75.0737062206,185.518874613
30,1999.01.12,20:00,159.009974641,97.5615531082,75.8097229482,185.06087452
31,1999.01.13,0:00,158.880135249,97.5295408328,75.1406168322,185.349244949
32,1999.01.13,4:00,158.663736264,97.59361955,75.006795609,185.179615285
33,1999.01.13,8:00,154.638715131,99.3313281933,75.4751698902,183.873466873
