,accumulate return
0,-0.681
1,-0.734
2,-0.461
3,-0.923
4,-0.865
5,-1.161
6,-0.221
7,-1.478
8,-0.284
9,-0.375
10,-0.718
11,-1.621
12,-0.548
13,-0.671
14,-1.385
15,-0.451
16,-0.386
17,-0.28
18,-0.653
19,-0.338
20,-0.337
21,-0.147
22,-0.682
23,-0.414
24,-0.153
25,-0.258
26,-0.685
27,-0.105
28,-0.752
29,0.026
30,-0.225
31,-0.251
32,-0.211
33,-0.104
34,0.039
35,-0.862
36,-0.425
37,-1.012
38,-0.02
39,-0.548
40,0.067
41,-0.294
42,-0.579
43,-0.609
44,-0.462
45,0.805
46,0.086
47,-0.247
48,1.562
49,0.455
50,-0.056
51,-0.116
52,-0.296
53,-0.83
54,-0.298
55,-0.814
56,-0.495
57,-0.35
58,-0.659
59,-1.238
60,-0.595
61,-0.05
62,-0.199
63,-0.171
64,-1.84
65,-0.115
66,-0.351
67,-0.114
68,-0.918
69,-1.384
70,-0.397
71,-0.439
72,0.0
73,-1.571
74,0.687
75,-0.206
76,-0.488
77,-1.513
78,-0.564
79,-0.754
80,-0.225
81,-0.822
82,-0.738
83,-0.051
84,-1.552
85,-1.027
86,-0.878
87,-0.876
88,-0.273
89,-0.114
90,0.344
91,-1.389
92,-0.807
93,-0.104
94,-0.058
95,-0.534
96,-0.102
97,-0.59
98,-0.341
99,-0.576
100,-0.288
101,-1.429
102,-0.63
103,-0.114
104,-0.333
105,-0.522
106,-0.447
107,-0.791
108,-0.141
109,0.24
110,-0.453
111,-0.399
112,-0.664
113,-0.045
114,-0.583
115,-0.171
116,-1.686
117,-0.167
118,-1.349
119,-0.845
120,-0.101
121,0.0
122,-1.073
123,-0.195
124,-1.11
125,-0.566
126,0.0
127,-0.809
128,0.889
129,-0.664
130,-0.849
131,-0.332
132,0.031
133,-0.522
134,-1.265
135,-0.11
136,-0.415
137,-0.51
138,-0.713
139,0.161
140,-0.386
141,-0.648
142,0.06
143,-0.021
144,-1.029
145,-0.668
146,2.266
147,-0.09
148,-1.863
149,-1.118
150,-0.135
151,-0.279
152,-0.276
153,-0.97
154,1.077
155,-0.484
156,0.928
157,-0.758
158,-0.83
159,-0.171
160,-0.329
161,-0.46
162,-0.114
163,-0.202
164,-1.723
165,-0.029
166,-0.233
167,-0.101
168,-0.251
169,-0.371
170,-0.288
171,-0.029
172,-0.103
173,-0.25
174,-0.668
175,-0.238
176,-0.135
177,-0.286
178,-0.779
179,-0.056
180,-0.155
181,-0.478
182,-0.786
183,-0.581
184,-0.393
185,-0.724
186,-0.259
187,-0.581
188,0.071
189,-0.893
190,0.384
191,-0.923
192,-0.59
193,-0.177
194,-0.195
195,-0.914
196,-0.62
197,-0.318
198,-0.533
199,-0.335
200,0.129
201,-0.572
202,0.0
203,-0.2
204,-0.033
205,-0.228
206,-0.444
207,-0.053
208,-0.548
209,-0.257
210,-0.252
211,-0.094
212,0.839
213,-1.419
214,-0.239
215,-0.349
216,-0.861
217,-0.241
218,-0.224
219,-0.773
220,-0.269
221,-0.734
222,-0.086
223,-0.302
224,0.824
225,-1.38
226,0.742
227,-0.906
228,-0.792
229,-1.115
230,0.323
231,-0.666
232,-0.682
233,-0.438
234,0.083
235,-0.322
236,-0.231
237,-0.216
238,-0.324
239,0.0
240,-0.25
241,1.192
242,-0.616
243,-1.396
244,-0.329
245,-0.053
246,-0.252
247,-0.811
248,-0.364
249,-0.486
250,-0.522
251,-0.146
252,-0.485
253,-0.725
254,-0.672
255,0.0
256,-0.44
257,-0.413
258,-0.447
259,-0.848
260,-0.46
261,-0.564
262,-1.374
263,-0.104
264,-0.485
265,0.041
266,1.053
267,-0.888
268,-0.007
269,0.0
270,-0.655
271,-0.678
272,0.672
273,-1.716
274,-0.138
275,0.708
276,-0.891
277,-0.428
278,-0.401
279,-0.116
280,-0.598
281,-0.579
282,-0.38
283,-1.036
284,-0.198
285,-0.349
286,-0.255
287,0.05
288,-0.048
289,-0.721
290,-0.607
291,-0.393
292,-0.108
293,-0.36
294,-2.402
295,-0.926
296,-1.305
297,-0.465
298,-0.198
299,-1.404
300,-2.601
301,-0.702
302,-0.508
303,-0.242
304,-0.297
305,-0.728
306,-0.496
307,-0.589
308,-0.453
309,-0.207
310,-0.284
311,-0.674
312,0.00800000000001
313,0.07
314,-0.861
315,-0.167
316,-0.281
317,-0.618
318,-0.116
319,-0.459
320,-0.244
321,-0.671
322,-0.617
323,0.24
324,-1.061
325,-1.77
326,-0.265
327,-0.42
328,-0.621
329,-0.449
330,-0.253
331,0.393
332,-0.889
333,-0.059
334,-0.719
335,-0.254
336,-0.454
337,-0.154
338,-0.377
339,-0.059
340,-0.825
341,-0.487
342,-0.146
343,-0.617
344,-0.00600000000001
345,-0.161
346,-0.379
347,0.236
348,-1.301
349,-0.528
350,0.24
351,-0.583
352,0.057
353,-0.837
354,-0.201
355,-0.088
356,-0.269
357,0.674
358,-0.642
359,-0.212
360,-1.668
361,-1.098
362,-0.681
363,-0.457
364,-0.222
365,-0.324
366,-0.707
367,-0.22
368,-0.072
369,-0.866
370,-0.179
371,-0.347
372,-0.514
373,-0.429
374,-0.258
375,-0.25
376,-0.431
377,0.287
378,-0.246
379,-0.394
380,-0.062
381,0.964
382,0.199
383,0.285
384,-0.514
385,-0.722
386,-0.2
387,-0.147
388,-0.168
389,-0.245
390,-0.247
391,-0.386
392,-0.141
393,0.094
394,-1.505
395,-0.472
396,-0.182
397,-0.44
398,-0.201
399,-0.785
400,-0.422
401,0.0
402,0.692
403,-0.543
404,-0.333
405,-0.426
406,-0.551
407,-0.258
408,-0.825
409,-1.259
410,-0.825
411,-0.199
412,-0.416
413,-0.737
414,-0.237
415,-0.473
416,-0.735
417,-0.28
418,-0.214
419,0.24
420,-0.148
421,0.018
422,-0.618
423,-0.438
424,-0.362
425,-0.821
426,-1.515
427,-0.171
428,-0.622
429,-0.135
430,-0.234
431,-0.585
432,-0.015
433,-0.159
434,-1.307
435,0.11
436,-0.476
437,-0.935
438,-0.455
439,-0.774
440,-0.114
441,-0.491
442,-0.568
443,-0.757
444,-0.00500000000002
445,0.577
446,-1.062
447,-0.814
448,-0.305
449,-0.181
450,-0.821
451,-0.971
452,-0.542
453,0.089
454,-0.326
455,-0.568
456,-0.192
457,-0.206
458,-0.251
459,-1.107
460,0.00399999999999
461,-0.484
462,-0.085
463,-0.018
464,-0.934
465,-0.239
466,-0.539
467,-0.512
468,0.35
469,0.055
470,-0.729
471,-0.216
472,0.05
473,-0.122
474,-0.338
475,-0.276
476,-0.594
477,0.18
478,-0.687
479,-1.391
480,0.0
481,-1.571
482,-1.486
483,-0.505
484,-1.475
485,-0.373
486,-0.519
487,-0.2
488,-0.443
489,-1.218
490,-0.098
491,0.452
492,-0.978
493,-0.545
494,0.708
495,-0.159
496,-0.521
497,-0.211
498,0.0
499,-1.418
