,accumulate return
0,-0.3209
1,-0.16602
2,-0.17211
3,-0.10997
4,-0.16507
5,-0.13264
6,-0.11037
7,-0.13249
8,-0.11894
9,-0.11968
10,-0.13016
11,-0.11115
12,-0.11704
13,-0.12471
14,-0.12412
15,-0.10112
16,-0.13668
17,-0.12916
18,-0.08016
19,-0.10385
20,-0.10288
21,-0.11704
22,-0.11125
23,-0.09988
24,-0.07336
25,-0.13585
26,-0.12109
27,-0.1309
28,-0.11357
29,-0.09887
30,-0.1052
31,-0.12991
32,-0.08759
33,-0.07764
34,-0.09561
35,-0.08273
36,-0.11304
37,-0.12135
38,-0.08668
39,-0.11351
40,-0.14452
41,-0.11799
42,-0.06575
43,-0.12074
44,-0.09787
45,-0.13927
46,-0.10558
47,-0.1337
48,-0.08823
49,-0.10789
50,-0.09209
51,-0.13357
52,-0.12383
53,-0.09859
54,-0.12247
55,-0.12767
56,-0.09653
57,-0.13886
58,-0.12123
59,-0.10195
60,-0.12782
61,-0.10935
62,-0.1158
63,-0.10701
64,-0.12781
65,-0.09105
66,-0.0911
67,-0.09121
68,-0.11546
69,-0.09176
70,-0.10755
71,-0.13143
72,-0.1238
73,-0.08812
74,-0.11022
75,-0.09584
76,-0.09585
77,-0.13278
78,-0.07972
79,-0.0948
80,-0.09308
81,-0.0876
82,-0.08575
83,-0.08081
84,-0.07611
85,-0.09631
86,-0.12072
87,-0.09531
88,-0.11679
89,-0.11959
90,-0.08789
91,-0.06405
92,-0.04814
93,-0.10756
94,-0.11581
95,-0.1029
96,-0.09021
97,-0.10063
98,-0.08904
99,-0.09959
100,-0.07461
101,-0.06706
102,-0.09653
103,-0.10224
104,-0.10632
105,-0.09258
106,-0.09866
107,-0.05465
108,-0.10845
109,-0.0802
110,-0.09351
111,-0.06815
112,-0.03939
113,-0.0731
114,-0.11153
115,-0.12906
116,-0.08363
117,-0.13083
118,-0.10796
119,-0.13522
120,-0.08707
121,-0.10231
122,-0.14964
123,-0.11852
124,-0.08795
125,-0.10017
126,-0.09466
127,-0.08395
128,-0.0787
129,-0.06749
130,-0.12333
131,-0.10437
132,-0.07345
133,-0.09465
134,-0.09143
135,-0.10522
136,-0.09224
137,-0.11258
138,-0.11119
139,-0.09887
140,-0.10921
141,-0.11555
142,-0.10336
143,-0.10863
144,-0.12753
145,-0.07752
146,-0.10784
147,-0.08568
148,-0.09775
149,-0.08381
150,-0.11313
151,-0.12645
152,-0.08491
153,-0.08401
154,-0.0747
155,-0.075
156,-0.11319
157,-0.1194
158,-0.12495
159,-0.1209
160,-0.12608
161,-0.10459
162,-0.10029
163,-0.08625
164,-0.11673
165,-0.10732
166,-0.10188
167,-0.08484
168,-0.10199
169,-0.11115
170,-0.08625
171,-0.11364
172,-0.1054
173,-0.09681
174,-0.09424
175,-0.0872
176,-0.09336
177,-0.1028
178,-0.11739
179,-0.11518
180,-0.06715
181,-0.09375
182,-0.07528
183,-0.09758
184,-0.07769
185,-0.07915
186,-0.06709
187,-0.09701
188,-0.08596
189,-0.10142
190,-0.09845
191,-0.10885
192,-0.0657
193,-0.08799
194,-0.04812
195,-0.11571
196,-0.04205
197,-0.0647
198,-0.05437
199,-0.07365
200,-0.08997
201,-0.03609
202,-0.08186
203,-0.08819
204,-0.09999
205,-0.08768
206,-0.06659
207,-0.04482
208,-0.05091
209,-0.07609
210,-0.08493
211,-0.03235
212,-0.11327
213,-0.10286
214,-0.06228
215,-0.07024
216,-0.09252
217,-0.04244
218,-0.0906
219,-0.08392
220,-0.08569
221,-0.07929
222,-0.04434
223,-0.05478
224,-0.07491
225,-0.04706
226,-0.08142
227,-0.05898
228,-0.03031
229,-0.07631
230,-0.03114
231,-0.08985
232,-0.05747
233,-0.07455
234,-0.04099
235,-0.08004
236,-0.07248
237,-0.0581
238,-0.04905
239,-0.07452
240,-0.0245
241,-0.08407
242,-0.10544
243,-0.07174
244,-0.06281
245,-0.05482
246,-0.06872
247,-0.05584
248,-0.07798
249,-0.05871
250,-0.06252
251,-0.0017
252,-0.06712
253,-0.0718
254,-0.04032
255,-0.05193
256,-0.0503
257,-0.03877
258,-0.05156
259,-0.04001
260,-0.07209
261,-0.03636
262,-0.05517
263,-0.01601
264,-0.04139
265,-0.02108
266,-0.05307
267,-0.05785
268,-0.04545
269,-0.02023
270,-0.02824
271,-0.03275
272,-0.01968
273,-0.0223
274,-0.04751
275,-0.08448
276,-0.07184
277,-0.06486
278,-0.03691
279,-0.03489
280,-0.00832
281,-0.02395
282,-0.00247
283,0.01023
284,-0.06055
285,-0.0407
286,-0.03383
287,-0.0309
288,-0.02717
289,-0.04275
290,-0.03357
291,-0.04723
292,-0.01535
293,-0.02454
294,-0.03811
295,-0.05987
296,-0.03821
297,0.00444
298,-0.09279
299,-0.06587
300,-0.0474
301,-0.06889
302,-0.06842
303,-0.01808
304,0.01753
305,-0.03932
306,-0.04894
307,0.01935
308,-0.06966
309,-0.07558
310,-0.04481
311,-0.02096
312,0.00348
313,-0.0744
314,-0.02082
315,-0.03133
316,-0.05615
317,-0.06878
318,-0.0174
319,-0.0184
320,0.00601
321,-0.02566
322,-0.06285
323,-0.03863
324,-0.0021
325,-0.01328
326,-0.01746
