,accumulate return
0,-0.7758
1,-0.1894
2,0.0499
3,0.0048
4,0.0549
5,0.1937
6,0.2171
7,0.2849
8,0.3109
9,0.7336
10,0.6979
11,0.4955
12,1.1463
13,0.9709
14,0.9055
15,0.7202
16,1.1383
17,0.7409
18,1.2809
19,1.2171
20,1.0951
21,1.126
22,1.1375
23,1.2924
24,1.2329
25,1.539
26,1.4837
27,1.1579
28,1.2949
29,1.4717
30,1.3617
31,1.3371
32,1.8086
33,1.4853
34,1.4014
35,1.7494
36,1.7027
37,1.6406
38,1.5591
39,1.7444
40,1.6037
41,1.6512
42,1.7339
43,1.908
44,2.0287
45,1.6216
46,1.9388
47,1.6854
48,1.7698
49,1.7504
50,1.7887
51,2.0351
52,2.0786
53,1.8062
54,1.7506
55,1.8147
56,1.8784
57,1.8501
58,1.8387
59,2.0198
60,2.0103
61,1.9767
62,2.1174
63,1.9269
64,1.9435
65,1.8841
66,2.1255
67,2.1378
68,2.069
69,1.8428
70,2.1538
71,1.9393
72,2.0018
73,2.3208
74,2.0937
75,1.9246
76,2.0009
77,2.0022
78,2.1715
79,2.3309
80,2.0438
81,2.1425
82,2.1365
83,2.2389
84,2.227
85,2.2872
86,2.4179
87,2.4507
88,2.311
89,2.4703
90,2.3538
91,2.1967
92,2.4239
93,2.3067
94,2.2497
95,2.3834
96,2.3904
97,2.3432
98,2.2525
99,2.3835
