INFO:root:Time start : 2016-05-15-16:13:46
INFO:root:Parameter setting :
INFO:root:epsilon = 0.1
INFO:root:transaction_cost = 0.0005
INFO:root:epoch =500
INFO:root:max_memory = 60000
INFO:root:look back term = 100
INFO:root:hidden_size = 300
INFO:root:activation function = relu
INFO:root:learning rate = 0.1
INFO:root:training period = 1000
INFO:root:accumulate return : -0.11827
INFO:root:accumulate return : -0.07519
INFO:root:accumulate return : -0.10317
INFO:root:accumulate return : -0.09706
INFO:root:accumulate return : -0.09957
INFO:root:accumulate return : -0.09512
INFO:root:accumulate return : -0.09547
INFO:root:accumulate return : -0.08735
INFO:root:accumulate return : -0.06903
INFO:root:accumulate return : -0.09683
INFO:root:accumulate return : -0.11786
INFO:root:accumulate return : -0.11458
INFO:root:accumulate return : -0.09893
INFO:root:accumulate return : -0.09498
INFO:root:accumulate return : -0.13624
INFO:root:accumulate return : -0.09689
INFO:root:accumulate return : -0.10052
INFO:root:accumulate return : -0.07209
INFO:root:accumulate return : -0.10667
INFO:root:accumulate return : -0.07838
INFO:root:accumulate return : -0.08958
INFO:root:accumulate return : -0.13404
INFO:root:accumulate return : -0.09762
INFO:root:accumulate return : -0.0782
INFO:root:accumulate return : -0.08982
INFO:root:accumulate return : -0.10709
INFO:root:accumulate return : -0.09406
INFO:root:accumulate return : -0.09186
INFO:root:accumulate return : -0.10684
INFO:root:accumulate return : -0.08554
INFO:root:accumulate return : -0.0821
INFO:root:accumulate return : -0.09423
INFO:root:accumulate return : -0.10262
INFO:root:accumulate return : -0.08645
INFO:root:accumulate return : -0.13208
INFO:root:accumulate return : -0.10367
INFO:root:accumulate return : -0.11499
INFO:root:accumulate return : -0.09882
INFO:root:accumulate return : -0.09505
INFO:root:accumulate return : -0.10818
INFO:root:accumulate return : -0.0889
INFO:root:accumulate return : -0.15109
INFO:root:accumulate return : -0.09434
INFO:root:accumulate return : -0.07739
INFO:root:accumulate return : -0.08987
INFO:root:accumulate return : -0.11011
INFO:root:accumulate return : -0.05851
INFO:root:accumulate return : -0.12591
INFO:root:accumulate return : -0.09157
INFO:root:accumulate return : -0.07743
INFO:root:accumulate return : -0.07446
INFO:root:accumulate return : -0.09044
INFO:root:accumulate return : -0.06772
INFO:root:accumulate return : -0.07807
INFO:root:accumulate return : -0.07963
INFO:root:accumulate return : -0.10233
INFO:root:accumulate return : -0.10011
INFO:root:accumulate return : -0.08489
INFO:root:accumulate return : -0.07882
INFO:root:accumulate return : -0.11957
INFO:root:accumulate return : -0.10675
INFO:root:accumulate return : -0.09703
INFO:root:accumulate return : -0.11948
INFO:root:accumulate return : -0.09817
INFO:root:accumulate return : -0.06896
INFO:root:accumulate return : -0.08672
INFO:root:accumulate return : -0.07968
INFO:root:accumulate return : -0.10724
INFO:root:accumulate return : -0.0799
INFO:root:accumulate return : -0.09835
INFO:root:accumulate return : -0.10162
INFO:root:accumulate return : -0.07454
INFO:root:accumulate return : -0.10134
INFO:root:accumulate return : -0.11505
INFO:root:accumulate return : -0.08228
INFO:root:accumulate return : -0.09247
INFO:root:accumulate return : -0.09522
INFO:root:accumulate return : -0.1065
INFO:root:accumulate return : -0.1346
INFO:root:accumulate return : -0.10269
INFO:root:accumulate return : -0.07397
INFO:root:accumulate return : -0.10359
INFO:root:accumulate return : -0.07511
INFO:root:accumulate return : -0.10308
INFO:root:accumulate return : -0.08768
INFO:root:accumulate return : -0.11938
