,accumulate return
0,-0.16949
1,-0.11876
2,-0.09244
3,-0.09311
4,-0.07692
5,-0.09649
6,-0.05863
7,-0.06393
8,-0.10047
9,-0.08684
10,-0.09006
11,-0.11721
12,-0.1093
13,-0.1023
14,-0.08218
15,-0.08759
16,-0.07478
17,-0.10058
18,-0.10045
19,-0.11202
20,-0.10658
21,-0.09894
22,-0.10879
23,-0.12182
24,-0.09219
25,-0.09858
26,-0.10762
27,-0.0903
28,-0.13768
29,-0.11045
30,-0.11071
31,-0.10945
32,-0.13068
33,-0.08845
34,-0.0904
35,-0.07701
36,-0.10233
37,-0.08734
38,-0.07535
39,-0.11676
40,-0.11449
41,-0.13101
42,-0.07995
43,-0.10533
44,-0.09832
45,-0.10941
46,-0.09352
47,-0.09616
48,-0.11417
49,-0.10325
50,-0.11565
51,-0.1008
52,-0.10298
53,-0.10636
54,-0.08495
55,-0.06734
56,-0.11763
57,-0.09356
58,-0.11997
59,-0.08403
60,-0.08215
61,-0.10014
62,-0.07952
63,-0.06866
64,-0.10369
65,-0.10833
66,-0.10033
67,-0.10045
68,-0.09747
69,-0.10359
70,-0.08205
71,-0.08572
72,-0.10146
73,-0.08183
74,-0.10871
75,-0.10009
76,-0.10155
77,-0.11859
78,-0.09052
79,-0.08696
80,-0.09775
81,-0.08187
82,-0.10433
83,-0.06933
84,-0.08945
85,-0.12702
86,-0.10112
87,-0.09076
88,-0.10346
89,-0.10322
90,-0.08741
91,-0.08786
92,-0.09799
93,-0.08296
94,-0.08323
95,-0.09706
96,-0.10954
97,-0.10116
98,-0.10608
99,-0.09639
100,-0.11179
101,-0.07995
102,-0.08184
103,-0.09143
104,-0.09984
105,-0.10886
106,-0.07704
107,-0.0759
108,-0.11126
109,-0.10276
110,-0.08512
111,-0.09758
112,-0.09572
113,-0.10674
114,-0.08673
115,-0.07393
116,-0.11757
117,-0.08901
118,-0.08494
119,-0.08195
120,-0.09516
121,-0.06696
122,-0.07145
123,-0.07128
124,-0.09242
125,-0.10568
126,-0.08833
127,-0.0895
128,-0.08067
129,-0.09167
130,-0.08288
131,-0.08033
132,-0.0927
133,-0.08829
134,-0.10307
135,-0.11729
136,-0.08356
137,-0.08268
138,-0.09313
139,-0.1083
140,-0.08024
141,-0.08467
142,-0.06809
143,-0.06755
144,-0.10493
145,-0.08712
146,-0.09016
147,-0.06916
148,-0.08131
149,-0.13857
150,-0.10226
151,-0.08203
152,-0.06656
153,-0.06799
154,-0.09962
155,-0.12177
156,-0.07869
157,-0.0922
158,-0.09147
159,-0.0967
160,-0.07672
161,-0.08207
162,-0.08795
163,-0.09155
164,-0.08942
165,-0.07292
166,-0.08358
167,-0.08164
168,-0.10214
169,-0.10168
170,-0.09611
171,-0.11236
172,-0.08628
173,-0.10798
174,-0.08004
175,-0.09218
176,-0.09126
177,-0.06461
178,-0.07162
179,-0.09241
180,-0.10777
181,-0.10031
182,-0.08149
183,-0.07195
184,-0.11814
185,-0.09024
186,-0.08351
187,-0.06499
188,-0.07067
189,-0.08649
190,-0.0968
191,-0.07344
192,-0.09777
193,-0.09593
194,-0.10394
195,-0.10827
196,-0.09076
197,-0.09017
198,-0.08713
199,-0.08539
200,-0.07629
201,-0.11596
202,-0.0947
203,-0.11121
204,-0.09405
205,-0.07344
206,-0.08068
207,-0.10914
208,-0.10083
209,-0.08187
210,-0.0765
211,-0.0898
212,-0.09825
213,-0.10988
214,-0.1023
215,-0.09137
216,-0.07254
217,-0.08829
218,-0.10055
219,-0.08987
220,-0.07357
221,-0.07207
222,-0.09718
223,-0.11258
224,-0.08107
225,-0.09064
226,-0.10035
227,-0.07171
228,-0.08622
229,-0.07974
230,-0.09007
231,-0.10276
232,-0.08381
233,-0.12053
234,-0.09425
235,-0.13023
236,-0.08161
237,-0.11154
238,-0.08255
239,-0.08292
240,-0.09857
241,-0.08585
242,-0.08114
243,-0.09578
244,-0.09454
245,-0.09193
246,-0.07987
247,-0.11384
248,-0.08059
249,-0.11455
250,-0.10357
251,-0.09416
252,-0.10004
253,-0.08187
254,-0.08202
255,-0.09065
256,-0.09044
257,-0.08167
258,-0.09915
259,-0.12648
260,-0.08029
261,-0.0658
262,-0.09408
263,-0.08383
264,-0.07826
265,-0.08264
266,-0.10135
267,-0.12092
268,-0.08564
269,-0.07519
270,-0.11432
271,-0.08399
272,-0.0567
273,-0.09477
274,-0.08157
275,-0.07808
276,-0.10328
277,-0.07463
278,-0.10335
279,-0.0894
280,-0.08982
281,-0.08711
282,-0.07311
283,-0.09462
284,-0.0733
285,-0.13223
286,-0.10807
287,-0.07476
288,-0.10329
289,-0.08567
290,-0.10017
291,-0.08557
292,-0.09302
293,-0.06205
294,-0.11357
295,-0.08763
296,-0.08688
297,-0.11587
298,-0.07218
299,-0.09334
300,-0.08143
301,-0.09226
302,-0.09519
303,-0.08899
304,-0.10358
305,-0.10533
306,-0.09147
307,-0.09425
308,-0.10213
309,-0.10164
310,-0.09307
311,-0.08731
312,-0.08178
313,-0.12591
314,-0.11955
315,-0.08973
316,-0.10086
317,-0.09848
318,-0.12196
319,-0.08539
320,-0.09638
321,-0.10899
322,-0.09009
323,-0.08388
324,-0.12608
325,-0.08718
326,-0.10244
327,-0.1325
328,-0.10392
329,-0.0934
330,-0.07035
331,-0.10081
332,-0.07752
333,-0.09386
334,-0.11981
335,-0.11931
336,-0.10127
337,-0.09551
338,-0.09216
339,-0.0995
340,-0.09109
341,-0.10801
342,-0.10925
343,-0.10267
344,-0.08628
345,-0.10998
346,-0.06334
347,-0.07984
348,-0.10978
349,-0.07732
350,-0.11673
351,-0.09945
352,-0.08486
353,-0.10547
354,-0.0947
355,-0.08733
356,-0.10719
357,-0.08637
358,-0.09407
359,-0.10291
360,-0.10961
361,-0.10235
362,-0.11946
363,-0.08884
364,-0.09635
365,-0.10734
366,-0.11609
367,-0.10047
368,-0.08745
369,-0.08951
370,-0.07892
371,-0.09306
372,-0.1183
373,-0.08116
374,-0.09093
375,-0.0972
376,-0.10517
377,-0.10213
378,-0.09906
379,-0.09813
380,-0.08851
381,-0.07805
382,-0.09257
383,-0.10417
384,-0.10526
385,-0.1053
386,-0.10282
387,-0.0998
388,-0.10712
389,-0.0731
390,-0.12716
391,-0.07993
392,-0.08528
393,-0.10277
394,-0.1056
395,-0.0891
396,-0.11405
397,-0.09313
