,LEARNING_RATE,THRESHOLD,RETURN,TRADE_COUNT
0,0.01,0.1,-0.18427,5354
1,0.01,0.2,0.24805,3192
2,0.01,0.3,0.54051,1554
3,0.01,0.4,0.73546,736
4,0.01,0.5,0.87148,322
5,0.01,0.6,0.9374,102
6,0.01,0.7,0.97129,24
7,0.01,0.8,0.9954,2
8,0.01,0.9,1.0,0
9,0.03,0.1,-0.22135,5047
10,0.03,0.2,0.45539,2841
11,0.03,0.3,0.55471,1354
12,0.03,0.4,0.75394,626
13,0.03,0.5,0.85789,246
14,0.03,0.6,0.94722,76
15,0.03,0.7,0.98612,16
16,0.03,0.8,0.99652,2
17,0.03,0.9,1.0,0
18,0.05,0.1,-0.0959299999999,5031
19,0.05,0.2,0.39754,2613
20,0.05,0.3,0.55339,1228
21,0.05,0.4,0.79089,528
22,0.05,0.5,0.88699,208
23,0.05,0.6,0.95798,56
24,0.05,0.7,0.98724,6
25,0.05,0.8,0.99875,2
26,0.05,0.9,1.0,0
27,0.07,0.1,-0.11299,4989
28,0.07,0.2,0.4118,2399
29,0.07,0.3,0.61311,1036
30,0.07,0.4,0.81671,428
31,0.07,0.5,0.9093,172
32,0.07,0.6,0.97028,48
33,0.07,0.7,0.99637,8
34,0.07,0.8,1.0,0
35,0.07,0.9,1.0,0
36,0.09,0.1,-0.0815099999999,4595
37,0.09,0.2,0.54907,1953
38,0.09,0.3,0.69133,826
39,0.09,0.4,0.8628,376
40,0.09,0.5,0.92754,152
41,0.09,0.6,0.98098,42
42,0.09,0.7,1.00018,2
43,0.09,0.8,1.0,0
44,0.09,0.9,1.0,0
45,0.11,0.1,0.14326,3704
46,0.11,0.2,0.58276,1667
47,0.11,0.3,0.70194,718
48,0.11,0.4,0.8574,342
49,0.11,0.5,0.933,122
50,0.11,0.6,0.9856,40
51,0.11,0.7,1.0,0
52,0.11,0.8,1.0,0
53,0.11,0.9,1.0,0
54,0.13,0.1,0.2878,3242
55,0.13,0.2,0.60339,1454
56,0.13,0.3,0.74738,662
57,0.13,0.4,0.89001,302
58,0.13,0.5,0.93455,110
59,0.13,0.6,0.98475,32
60,0.13,0.7,0.99611,2
61,0.13,0.8,1.0,0
62,0.13,0.9,1.0,0
63,0.15,0.1,0.27876,2798
64,0.15,0.2,0.62875,1346
65,0.15,0.3,0.78671,596
66,0.15,0.4,0.88045,280
67,0.15,0.5,0.94371,106
68,0.15,0.6,0.98569,30
69,0.15,0.7,0.99611,2
70,0.15,0.8,1.0,0
71,0.15,0.9,1.0,0
72,0.17,0.1,0.28551,2499
73,0.17,0.2,0.63788,1236
74,0.17,0.3,0.79559,554
75,0.17,0.4,0.88961,266
76,0.17,0.5,0.9468,100
77,0.17,0.6,0.98572,24
78,0.17,0.7,0.99611,2
79,0.17,0.8,1.0,0
