Date,Time,limitUp,limitDown
2016-01-15,9:25,15,7
2016-01-15,9:30,16,7
2016-01-15,9:31,17,7
2016-01-15,9:32,17,7
2016-01-15,9:33,18,7
2016-01-15,9:34,20,7
2016-01-15,9:35,19,6
2016-01-15,9:36,20,7
2016-01-15,9:37,19,8
2016-01-15,9:38,19,8
2016-01-15,9:39,20,9
2016-01-15,9:40,21,9
2016-01-15,9:41,21,8
2016-01-15,9:42,22,8
2016-01-15,9:43,22,7
2016-01-15,9:44,22,7
2016-01-15,9:45,23,7
2016-01-15,9:46,23,7
2016-01-15,9:47,24,10
2016-01-15,9:48,22,10
2016-01-15,9:49,22,10
2016-01-15,9:50,23,10
2016-01-15,9:51,23,9
2016-01-15,9:52,24,9
2016-01-15,9:53,24,9
2016-01-15,9:54,23,9
2016-01-15,9:55,23,9
2016-01-15,9:56,23,9
2016-01-15,9:57,25,9
2016-01-15,9:58,24,9
2016-01-15,9:59,25,9
2016-01-15,10:00,23,9
2016-01-15,10:01,24,9
2016-01-15,10:02,24,9
2016-01-15,10:03,25,9
2016-01-15,10:04,25,9
2016-01-15,10:05,24,9
2016-01-15,10:06,24,9
2016-01-15,10:07,25,9
2016-01-15,10:08,23,9
2016-01-15,10:09,23,8
2016-01-15,10:10,23,8
2016-01-15,10:11,25,8
2016-01-15,10:12,23,9
2016-01-15,10:13,22,10
2016-01-15,10:14,23,8
2016-01-15,10:15,23,9
2016-01-15,10:16,23,8
2016-01-15,10:17,24,9
2016-01-15,10:18,23,8
2016-01-15,10:19,23,8
2016-01-15,10:20,22,9
2016-01-15,10:21,22,9
2016-01-15,10:22,25,9
2016-01-15,10:23,24,8
2016-01-15,10:24,25,8
2016-01-15,10:25,24,8
2016-01-15,10:26,25,8
2016-01-15,10:27,23,9
2016-01-15,10:28,23,8
2016-01-15,10:29,22,9
2016-01-15,10:30,20,10
2016-01-15,10:31,20,12
2016-01-15,10:32,21,12
2016-01-15,10:33,21,13
2016-01-15,10:34,22,10
2016-01-15,10:35,22,10
2016-01-15,10:36,24,9
2016-01-15,10:37,22,9
2016-01-15,10:38,24,12
2016-01-15,10:39,24,11
